year,region_code,business_type,unknown,one_to_4,five_to_9,ten_to_19,twenty_to_49,fifty_to_199,two_hundred_plus
1999,DR01,"Agric., Forestry, Fishing & Hunt",1227,954,219,142,99,44,7
1999,DR01,Mining & Oil & Gas Extract.,59,40,7,3,,4,1
1999,DR01,Utilities,13,7,4,4,2,3,1
1999,DR01,Construction,3820,2046,468,307,154,34,1
1999,DR01,Manufacturing,768,701,181,150,114,54,14
1999,DR01,Wholesale Trade,732,566,217,169,54,14,
1999,DR01,Retail Trade,1669,1869,727,502,232,109,12
1999,DR01,Transp. & Warehousing,879,644,127,100,51,16,11
1999,DR01,Information & Cultural Indust.,182,139,34,32,41,10,3
